graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2
0,21,31,0,True,False,False,1.0,0.0,0.0
0,31,21,0,True,False,False,1.0,0.0,0.0
0,21,27,0,True,False,False,1.0,0.0,0.0
0,27,21,0,True,False,False,1.0,0.0,0.0
0,13,15,0,True,False,False,1.0,0.0,0.0
0,15,13,0,True,False,False,1.0,0.0,0.0
0,26,13,0,True,False,False,1.0,0.0,0.0
0,13,26,0,True,False,False,1.0,0.0,0.0
0,6,8,0,True,False,False,1.0,0.0,0.0
0,8,6,0,True,False,False,1.0,0.0,0.0
0,34,33,0,True,False,False,0.0,0.0,1.0
0,33,34,0,True,False,False,0.0,0.0,1.0
0,33,27,0,True,False,False,0.0,0.0,1.0
0,27,33,0,True,False,False,0.0,0.0,1.0
0,8,33,0,True,False,False,0.0,0.0,1.0
0,33,8,0,True,False,False,0.0,0.0,1.0
0,33,12,0,True,False,False,0.0,1.0,0.0
0,12,33,0,True,False,False,0.0,1.0,0.0
0,33,2,0,True,False,False,0.0,0.0,1.0
0,2,33,0,True,False,False,0.0,0.0,1.0
0,33,15,0,True,False,False,0.0,0.0,1.0
0,15,33,0,True,False,False,0.0,0.0,1.0
0,34,19,0,True,False,False,1.0,0.0,0.0
0,19,34,0,True,False,False,1.0,0.0,0.0
0,0,2,0,True,False,False,1.0,0.0,0.0
0,2,0,0,True,False,False,1.0,0.0,0.0
0,2,25,0,True,False,False,1.0,0.0,0.0
0,25,2,0,True,False,False,1.0,0.0,0.0
0,11,2,0,True,False,False,1.0,0.0,0.0
0,2,11,0,True,False,False,1.0,0.0,0.0
0,2,7,0,True,False,False,1.0,0.0,0.0
0,7,2,0,True,False,False,1.0,0.0,0.0
0,34,9,0,True,False,False,1.0,0.0,0.0
0,9,34,0,True,False,False,1.0,0.0,0.0
0,14,9,0,True,False,False,1.0,0.0,0.0
0,9,14,0,True,False,False,1.0,0.0,0.0
0,32,29,0,True,False,False,0.0,1.0,0.0
0,29,32,0,True,False,False,0.0,1.0,0.0
0,30,32,0,True,False,False,0.0,1.0,0.0
0,32,30,0,True,False,False,0.0,1.0,0.0
0,11,25,0,True,False,False,1.0,0.0,0.0
0,25,11,0,True,False,False,1.0,0.0,0.0
0,5,10,0,True,False,False,0.0,1.0,0.0
0,10,5,0,True,False,False,0.0,1.0,0.0
0,31,27,0,True,False,False,1.0,0.0,0.0
0,27,31,0,True,False,False,1.0,0.0,0.0
0,22,27,0,True,False,False,0.0,1.0,0.0
0,27,22,0,True,False,False,0.0,1.0,0.0
0,16,27,0,True,False,False,1.0,0.0,0.0
0,27,16,0,True,False,False,1.0,0.0,0.0
0,34,1,0,True,False,False,1.0,0.0,0.0
0,1,34,0,True,False,False,1.0,0.0,0.0
0,34,17,0,True,False,False,0.0,1.0,0.0
0,17,34,0,True,False,False,0.0,1.0,0.0
0,34,10,0,True,False,False,1.0,0.0,0.0
0,10,34,0,True,False,False,1.0,0.0,0.0
0,14,34,0,True,False,False,1.0,0.0,0.0
0,34,14,0,True,False,False,1.0,0.0,0.0
0,15,18,0,True,False,False,0.0,1.0,0.0
0,18,15,0,True,False,False,0.0,1.0,0.0
0,24,25,0,True,False,False,1.0,0.0,0.0
0,25,24,0,True,False,False,1.0,0.0,0.0
0,3,8,0,False,True,False,0.0,1.0,0.0
0,8,3,0,False,True,False,0.0,1.0,0.0
0,15,28,0,False,True,False,1.0,0.0,0.0
0,28,15,0,False,True,False,1.0,0.0,0.0
0,26,15,0,False,True,False,1.0,0.0,0.0
0,15,26,0,False,True,False,1.0,0.0,0.0
0,8,4,0,False,False,True,1.0,0.0,0.0
0,4,8,0,False,False,True,1.0,0.0,0.0
0,29,4,0,False,False,True,0.0,1.0,0.0
0,4,29,0,False,False,True,0.0,1.0,0.0
0,8,23,0,False,False,True,1.0,0.0,0.0
0,23,8,0,False,False,True,1.0,0.0,0.0
0,20,23,0,False,False,True,1.0,0.0,0.0
0,23,20,0,False,False,True,1.0,0.0,0.0
0,8,20,0,False,False,True,1.0,0.0,0.0
0,20,8,0,False,False,True,1.0,0.0,0.0
